Entity,Code,Year,Sand and gravel
World,OWID_WRL,1902,13.3
World,OWID_WRL,1903,14.5
World,OWID_WRL,1904,8.5
World,OWID_WRL,1905,8.14
World,OWID_WRL,1906,6.33
World,OWID_WRL,1907,5.41
World,OWID_WRL,1908,6.15
World,OWID_WRL,1909,5.42
World,OWID_WRL,1910,5.06
World,OWID_WRL,1911,5.24
World,OWID_WRL,1912,5.56
World,OWID_WRL,1913,4.77
World,OWID_WRL,1914,4.71
World,OWID_WRL,1915,4.82
World,OWID_WRL,1916,4.78
World,OWID_WRL,1917,5.34
World,OWID_WRL,1918,5.84
World,OWID_WRL,1919,5.84
World,OWID_WRL,1920,6.18
World,OWID_WRL,1921,6.65
World,OWID_WRL,1922,6.61
World,OWID_WRL,1923,6.21
World,OWID_WRL,1924,6.1
World,OWID_WRL,1925,6.05
World,OWID_WRL,1926,5.81
World,OWID_WRL,1927,5.73
World,OWID_WRL,1928,5.52
World,OWID_WRL,1929,5.9
World,OWID_WRL,1930,6.05
World,OWID_WRL,1931,6.42
World,OWID_WRL,1932,6.09
World,OWID_WRL,1933,6.42
World,OWID_WRL,1934,6.58
World,OWID_WRL,1935,5.94
World,OWID_WRL,1936,6.12
World,OWID_WRL,1937,5.9
World,OWID_WRL,1938,5.79
World,OWID_WRL,1939,5.75
World,OWID_WRL,1940,5.47
World,OWID_WRL,1941,5.76
World,OWID_WRL,1942,6.41
World,OWID_WRL,1943,6.22
World,OWID_WRL,1944,5.84
World,OWID_WRL,1945,5.98
World,OWID_WRL,1946,5.68
World,OWID_WRL,1947,5.62
World,OWID_WRL,1948,5.55
World,OWID_WRL,1949,5.47
World,OWID_WRL,1950,5.55
World,OWID_WRL,1951,5.34
World,OWID_WRL,1952,5.16
World,OWID_WRL,1953,5.3
World,OWID_WRL,1954,5.7
World,OWID_WRL,1955,5.72
World,OWID_WRL,1956,5.88
World,OWID_WRL,1957,5.68
World,OWID_WRL,1958,5.64
World,OWID_WRL,1959,5.82
World,OWID_WRL,1960,5.83
World,OWID_WRL,1961,5.67
World,OWID_WRL,1962,5.71
World,OWID_WRL,1963,5.7
World,OWID_WRL,1964,5.62
World,OWID_WRL,1965,5.63
World,OWID_WRL,1966,5.47
World,OWID_WRL,1967,5.47
World,OWID_WRL,1968,5.39
World,OWID_WRL,1969,5.25
World,OWID_WRL,1970,5.12
World,OWID_WRL,1971,5.23
World,OWID_WRL,1972,5.3
World,OWID_WRL,1973,5.28
World,OWID_WRL,1974,5.32
World,OWID_WRL,1975,5.21
World,OWID_WRL,1976,5.93
World,OWID_WRL,1977,6
World,OWID_WRL,1978,5.87
World,OWID_WRL,1979,5.62
World,OWID_WRL,1980,5.72
World,OWID_WRL,1981,5.52
World,OWID_WRL,1982,5.25
World,OWID_WRL,1983,5.24
World,OWID_WRL,1984,5.02
World,OWID_WRL,1985,5.09
World,OWID_WRL,1986,5.1
World,OWID_WRL,1987,5.29
World,OWID_WRL,1988,5.15
World,OWID_WRL,1989,5.25
World,OWID_WRL,1990,4.89
World,OWID_WRL,1991,4.74
World,OWID_WRL,1992,4.66
World,OWID_WRL,1993,4.58
World,OWID_WRL,1994,4.62
World,OWID_WRL,1995,4.6
World,OWID_WRL,1996,4.55
World,OWID_WRL,1997,4.54
World,OWID_WRL,1998,4.59
World,OWID_WRL,1999,4.63
World,OWID_WRL,2000,4.55
World,OWID_WRL,2001,4.62
World,OWID_WRL,2002,4.61
World,OWID_WRL,2003,4.57
World,OWID_WRL,2004,4.59
World,OWID_WRL,2005,4.89
World,OWID_WRL,2006,5.2312417
World,OWID_WRL,2007,5.55
World,OWID_WRL,2008,5.63
World,OWID_WRL,2009,5.71
World,OWID_WRL,2010,5.46
World,OWID_WRL,2011,5.4285016
World,OWID_WRL,2012,5.437418
World,OWID_WRL,2013,5.43
World,OWID_WRL,2014,5.534125
World,OWID_WRL,2015,5.697833
World,OWID_WRL,2016,5.75
World,OWID_WRL,2017,5.9
World,OWID_WRL,2018,5.951908
World,OWID_WRL,2019,6.1400943
World,OWID_WRL,2020,6.2677107
World,OWID_WRL,2021,6.295654
World,OWID_WRL,2022,6.27
